#clustering method	cluster number	cluster color	hex color	gene count	protein name	protein identifier	protein description
MCL	4	Yellow	#e0ff65	3	CYP1A1	9606.ENSP00000378488	Cytochrome P450 1A1; A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, steroid hormones and vitamins. Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase). Catalyzes the hydroxylation of carbon-hydrogen bonds. Exhibits high catalytic activity for the formation of hydroxyestrogens from estrone (E1) and 17beta-estradiol (E2), namely 2-hydroxy E1 and E [...] 
MCL	4	Yellow	#e0ff65	3	CYP1A2	9606.ENSP00000342007	Cytochrome P450 1A2; A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, steroid hormones and vitamins. Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (NADPH--hemoprotein reductase). Catalyzes the hydroxylation of carbon-hydrogen bonds. Exhibits high catalytic activity for the formation of hydroxyestrogens from estrone (E1) and 17beta- estradiol (E2), namely 2-hydroxy E1 and  [...] 
MCL	4	Yellow	#e0ff65	3	HSD11B1	9606.ENSP00000355995	Corticosteroid 11-beta-dehydrogenase isozyme 1; Catalyzes reversibly the conversion of cortisol to the inactive metabolite cortisone. Catalyzes reversibly the conversion of 7-ketocholesterol to 7-beta-hydroxycholesterol. In intact cells, the reaction runs only in one direction, from 7-ketocholesterol to 7-beta- hydroxycholesterol (By similarity).
MCL	5	Green	#47b200	2	EZH2	9606.ENSP00000320147	Histone-lysine N-methyltransferase EZH2; Polycomb group (PcG) protein. Catalytic subunit of the PRC2/EED-EZH2 complex, which methylates 'Lys-9' (H3K9me) and 'Lys-27' (H3K27me) of histone H3, leading to transcriptional repression of the affected target gene. Able to mono-, di- and trimethylate 'Lys-27' of histone H3 to form H3K27me1, H3K27me2 and H3K27me3, respectively. Displays a preference for substrates with less methylation, loses activity when progressively more methyl groups are incorporated into H3K27, H3K27me0 > H3K27me1 > H3K27me2. Compared to EZH1-containing complexes, it is m [...] 
MCL	5	Green	#47b200	2	HDAC7	9606.ENSP00000080059	Histone deacetylase 7; Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events. Histone deacetylases act via the formation of large multiprotein complexes. Involved in muscle maturation by repressing transcription of myocyte enhancer factors such as MEF2A, MEF2B and MEF2C. During muscle differentiation, it shuttles into the cytoplasm, allowing the expression  [...] 
MCL	6	Light Green	#66ff65	2	PSMB4	9606.ENSP00000290541	Proteasome subunit beta type-4; Component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated with two 19S regulatory particles, forms the 26S proteasome and thus participates in the ATP- dependent degradation of ubiquitinated proteins. The 26S proteasome plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins that could impair cellular functions, and by removing pro [...] 
MCL	6	Light Green	#66ff65	2	PSMB7	9606.ENSP00000259457	Proteasome subunit beta type-7; Component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated with two 19S regulatory particles, forms the 26S proteasome and thus participates in the ATP- dependent degradation of ubiquitinated proteins. The 26S proteasome plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins that could impair cellular functions, and by removing pro [...] 
MCL	7	Lime Green	#00b247	2	THRA	9606.ENSP00000264637	Thyroid hormone receptor alpha; [Isoform Alpha-1]: Nuclear hormone receptor that can act as a repressor or activator of transcription. High affinity receptor for thyroid hormones, including triiodothyronine and thyroxine. Belongs to the nuclear hormone receptor family. NR1 subfamily.
MCL	7	Lime Green	#00b247	2	THRB	9606.ENSP00000379904	Thyroid hormone receptor beta; Nuclear hormone receptor that can act as a repressor or activator of transcription. High affinity receptor for thyroid hormones, including triiodothyronine and thyroxine.
MCL	8	Cyan	#65ffe0	2	AKR1B1	9606.ENSP00000285930	Aldo-keto reductase family 1 member B1; Catalyzes the NADPH-dependent reduction of a wide variety of carbonyl-containing compounds to their corresponding alcohols. Displays enzymatic activity towards endogenous metabolites such as aromatic and aliphatic aldehydes, ketones, monosacharides, bile acids and xenobiotics substrates. Key enzyme in the polyol pathway, catalyzes reduction of glucose to sorbitol during hyperglycemia. Reduces steroids and their derivatives and prostaglandins. Displays low enzymatic activity toward all-trans-retinal, 9-cis-retinal, and 13-cis- retinal. Catalyzes t [...] 
MCL	8	Cyan	#65ffe0	2	AKR1C3	9606.ENSP00000369927	Aldo-keto reductase family 1 member C3; Catalyzes the conversion of aldehydes and ketones to alcohols. Catalyzes the reduction of prostaglandin (PG) D2, PGH2 and phenanthrenequinone (PQ) and the oxidation of 9-alpha,11-beta-PGF2 to PGD2. Functions as a bi-directional 3-alpha-, 17-beta- and 20-alpha HSD. Can interconvert active androgens, estrogens and progestins with their cognate inactive metabolites. Preferentially transforms androstenedione (4-dione) to testosterone; Belongs to the aldo/keto reductase family.
MCL	9	Dark Cyan	#008eb2	2	IRAK1	9606.ENSP00000358997	Interleukin-1 receptor-associated kinase 1; Serine/threonine-protein kinase that plays a critical role in initiating innate immune response against foreign pathogens. Involved in Toll-like receptor (TLR) and IL-1R signaling pathways. Is rapidly recruited by MYD88 to the receptor-signaling complex upon TLR activation. Association with MYD88 leads to IRAK1 phosphorylation by IRAK4 and subsequent autophosphorylation and kinase activation. Phosphorylates E3 ubiquitin ligases Pellino proteins (PELI1, PELI2 and PELI3) to promote pellino-mediated polyubiquitination of IRAK1. Then, the ubiquit [...] 
MCL	9	Dark Cyan	#008eb2	2	TLR3	9606.ENSP00000296795	Toll-like receptor 3; Key component of innate and adaptive immunity. TLRs (Toll- like receptors) control host immune response against pathogens through recognition of molecular patterns specific to microorganisms. TLR3 is a nucleotide-sensing TLR which is activated by double-stranded RNA, a sign of viral infection. Acts via the adapter TRIF/TICAM1, leading to NF-kappa-B activation, IRF3 nuclear translocation, cytokine secretion and the inflammatory response.
MCL	10	Blue	#65a3ff	2	CYP19A1	9606.ENSP00000379683	Aromatase; A cytochrome P450 monooxygenase that catalyzes the conversion of C19 androgens, androst-4-ene-3,17-dione (androstenedione) and testosterone to the C18 estrogens, estrone and estradiol, respectively. Catalyzes three successive oxidations of C19 androgens: two conventional oxidations at C19 yielding 19-hydroxy and 19-oxo/19-aldehyde derivatives, followed by a third oxidative aromatization step that involves C1-beta hydrogen abstraction combined with cleavage of the C10-C19 bond to yield a phenolic A ring and formic acid. Alternatively, the third oxidative reaction yields a 19- [...] 
MCL	10	Blue	#65a3ff	2	PGR	9606.ENSP00000325120	Progesterone receptor; The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Depending on the isoform, progesterone receptor functions as transcriptional activator or repressor. [Isoform B]: Transcriptional activator of several progesteron-dependent promoters in a variety of cell types. Involved in activation of SRC-dependent MAPK signaling on hormone stimulation.
MCL	11	Purple	#ef75d7	2	ALOX5	9606.ENSP00000363512	Arachidonate 5-lipoxygenase; Catalyzes the first step in leukotriene biosynthesis, and thereby plays a role in inflammatory processes. Belongs to the lipoxygenase family.
MCL	11	Purple	#ef75d7	2	PLA2G2D	9606.ENSP00000364246	Group IID secretory phospholipase A2; PA2 catalyzes the calcium-dependent hydrolysis of the 2-acyl groups in 3-sn-phosphoglycerides. L-alpha-1-palmitoyl-2-linoleoyl phosphatidylethanolamine is more efficiently hydrolyzed than the other phospholipids examined.
MCL	12	Pink	#ef75a6	2	ACLY	9606.ENSP00000466259	ATP-citrate synthase; Catalyzes the cleavage of citrate into oxaloacetate and acetyl-CoA, the latter serving as common substrate for de novo cholesterol and fatty acid synthesis. In the N-terminal section; belongs to the succinate/malate CoA ligase beta subunit family.
MCL	12	Pink	#ef75a6	2	AKT1	9606.ENSP00000451828	RAC-alpha serine/threonine-protein kinase; AKT1 is one of 3 closely related serine/threonine-protein kinases (AKT1, AKT2 and AKT3) called the AKT kinase, and which regulate many processes including metabolism, proliferation, cell survival, growth and angiogenesis. This is mediated through serine and/or threonine phosphorylation of a range of downstream substrates. Over 100 substrate candidates have been reported so far, but for most of them, no isoform specificity has been reported. AKT is responsible of the regulation of glucose uptake by mediating insulin-induced translocation of the [...] 
